status,number_of_bills
CONFERENCE:PASSED:HOUSE,15
CONFERENCE:PASSED:SENATE,9
ENACTED:SIGNED,9138
ENACTED:TENDAYRULE,1
ENACTED:VETO_OVERRIDE,17
FAIL:ORIGINATING:HOUSE,107
FAIL:ORIGINATING:SENATE,39
FAIL:SECOND:HOUSE,2
FAIL:SECOND:SENATE,3
INTRODUCED,4489
PASSED:BILL,146
PASSED:CONCURRENTRES,1317
PASSED:SIMPLERES,11993
PASS_BACK:HOUSE,97
PASS_BACK:SENATE,311
PASS_OVER:HOUSE,7243
PASS_OVER:SENATE,3621
PROV_KILL:CLOTUREFAILED,101
PROV_KILL:SUSPENSIONFAILED,141
PROV_KILL:VETO,151
REFERRED,258029
REPORTED,10732
VETOED:OVERRIDE_FAIL_ORIGINATING:HOUSE,25
VETOED:OVERRIDE_FAIL_ORIGINATING:SENATE,9
VETOED:OVERRIDE_FAIL_SECOND:HOUSE,2
VETOED:OVERRIDE_FAIL_SECOND:SENATE,8
VETOED:OVERRIDE_PASS_OVER:HOUSE,1
VETOED:POCKET,72
